ST,east,north,up,azimuth,distance
741009607.0,-1272.7919756889223,1272.7923161236245,-0.25455316289560415,-44.99999233752671,1799.9999148226232
741009627.0,-1269.3986243954027,1272.7923212384098,-0.2531399265026266,-44.92351306620797,1797.6020584713403
741009647.0,-1266.0044551565447,1272.7920227753827,-0.2528397069966104,-44.84681794916906,1795.206621455277
741009667.0,-1262.6102859179546,1272.7924334910545,-0.25183445848381325,-44.76990205874423,1792.8149131625103
741009687.0,-1259.2161166790966,1272.7921350280271,-0.25153423897756966,-44.692796775205174,1790.425940242597
741009707.0,-1255.8219474408872,1272.7925457428496,-0.2505289909311159,-44.615469632726075,1788.0407232982102
741009727.0,-1252.427778202029,1272.7922472798225,-0.2502287714250997,-44.537952010073504,1785.6582663958106
741009747.0,-1249.0336089634388,1272.7926579954942,-0.24922352291218886,-44.460211443722514,1783.2795929319293
741009767.0,-1245.6394397245808,1272.792359532467,-0.24892330340617264,-44.38227931020287,1780.9037043820174
741009787.0,-1242.2452704859907,1272.792770248139,-0.2479180548932618,-44.30412314931108,1778.5316269441892
741009807.0,-1238.8511012471326,1272.7924717851117,-0.2476178353871319,-44.22577433442934,1776.1623594970386
741009827.0,-1235.4569320086555,1272.7921733218955,-0.24731761569114497,-44.14721636482932,1773.7964221741213
741009847.0,-1232.062762770065,1272.7925840375674,-0.24631236717812044,-44.06843274471131,1771.4343378702
741009867.0,-1228.668593531207,1272.79228557454,-0.24601214767187685,-43.98945484112692,1769.0751015567473
741009887.0,-1225.274424292617,1272.792696290212,-0.245006899158966,-43.91025020693904,1766.719746466686
741009907.0,-1221.8810729988295,1272.7919922262984,-0.24429869177276942,-43.830878486827224,1764.3675388161505
741009927.0,-1218.4869037602393,1272.79240294197,-0.24329344325997226,-43.75125072489667,1762.0189657384533
741009947.0,-1215.0927345213813,1272.792104478943,-0.24299322375395604,-43.671426509602725,1759.6732920376398
741009967.0,-1211.6985652827912,1272.7925151939544,-0.24198797589770038,-43.59137340925747,1757.3315566056756
741009987.0,-1208.304396043933,1272.792216730927,-0.24168775639157047,-43.511122772148106,1754.9927465576377
741010007.0,-1204.9102268057236,1272.7926274464103,-0.24068250768857524,-43.43064217603553,1752.6579036260775
741010027.0,-1201.5160575668656,1272.792328983383,-0.24038228818255902,-43.34996296113264,1750.3260122931292
741010047.0,-1198.1218883280076,1272.7920305203554,-0.24008206867631543,-43.26906864877989,1747.9976007554474
741010067.0,-1194.7277190894172,1272.7924412360273,-0.2390768201634046,-43.18794277122346,1745.673200008572
741010087.0,-1191.3335498505594,1272.7921427730003,-0.23877660065727468,-43.10661665483189,1743.351790575907
741010107.0,-1187.939380611969,1272.792553488672,-0.23777135214436385,-43.025057906061306,1741.0344213211185
741010127.0,-1184.545211373111,1272.7922550256446,-0.23747113263823394,-42.943297840831875,1738.7200701206143
741010147.0,-1181.1510421349017,1272.7926657411276,-0.23646588393546608,-42.86130407921423,1736.409788702186
741010167.0,-1177.7568728960437,1272.7923672781003,-0.23616566442933618,-42.77910792568156,1734.1025522890097
741010187.0,-1174.3627036574533,1272.792777993112,-0.23516041657296682,-42.696677015153675,1731.7994154789021
741010207.0,-1170.9685344185955,1272.7924795300846,-0.23486019706683692,-42.6140426396957,1729.4993508373384
741010227.0,-1167.5751831250757,1272.7917754664395,-0.23415198995087394,-42.53121744335138,1727.203147271497
